Date,Day,NetWorth,Cash,Shares
2020-01-22,284,9905.26286739172,9905.26286739172,0
2020-01-23,285,9905.26286739172,9905.26286739172,0
2020-01-24,286,9905.26286739172,9905.26286739172,0
2020-01-27,287,9905.26286739172,9905.26286739172,0
2020-01-28,288,9905.26286739172,9905.26286739172,0
2020-01-29,289,9905.26286739172,9905.26286739172,0
2020-01-30,290,9905.26286739172,9905.26286739172,0
2020-01-31,291,9905.26286739172,9905.26286739172,0
2020-02-01,292,9905.26286739172,9905.26286739172,0
2020-02-03,293,9905.26286739172,9905.26286739172,0
2020-02-04,294,9905.26286739172,9905.26286739172,0
2020-02-05,295,9905.26286739172,9905.26286739172,0
2020-02-06,296,9905.26286739172,6933.68400717421,2.39255630809536
2020-02-07,297,9896.17115342096,9896.17115342096,0
2020-02-10,298,9896.17115342096,6927.31980739467,2.40260532340597
2020-02-11,299,9922.88812461724,9922.88812461724,0
2020-02-12,300,9922.88812461724,6946.02168723207,2.38259867569366
2020-02-13,301,9905.0901125098,9905.0901125098,0
2020-02-14,302,9905.0901125098,9905.0901125098,0
2020-02-17,303,9905.0901125098,9905.0901125098,0
2020-02-18,304,9905.0901125098,9905.0901125098,0
2020-02-19,305,9905.0901125098,9905.0901125098,0
2020-02-20,306,9905.0901125098,9905.0901125098,0
2020-02-24,307,9905.0901125098,9905.0901125098,0
2020-02-25,308,9905.0901125098,9905.0901125098,0
2020-02-26,309,9905.0901125098,9905.0901125098,0
2020-02-27,310,9905.0901125098,9905.0901125098,0
2020-02-28,311,9905.0901125098,9905.0901125098,0
2020-03-02,312,9905.0901125098,9905.0901125098,0
2020-03-03,313,9905.0901125098,9905.0901125098,0
2020-03-04,314,9905.0901125098,9905.0901125098,0
2020-03-05,315,9905.0901125098,9905.0901125098,0
2020-03-06,316,9905.0901125098,9905.0901125098,0
2020-03-09,317,9905.0901125098,9905.0901125098,0
2020-03-11,318,9905.0901125098,9905.0901125098,0
2020-03-12,319,9905.0901125098,9905.0901125098,0
2020-03-13,320,9905.0901125098,9905.0901125098,0
2020-03-16,321,9905.0901125098,9905.0901125098,0
2020-03-17,322,9905.0901125098,9905.0901125098,0
2020-03-18,323,9905.0901125098,9905.0901125098,0
2020-03-19,324,9905.0901125098,9905.0901125098,0
2020-03-20,325,9905.0901125098,9905.0901125098,0
2020-03-23,326,9905.0901125098,9905.0901125098,0
2020-03-24,327,9905.0901125098,9905.0901125098,0
2020-03-25,328,9905.0901125098,9905.0901125098,0
2020-03-26,329,9905.0901125098,9905.0901125098,0
2020-03-27,330,9905.0901125098,9905.0901125098,0
2020-03-30,331,9905.0901125098,9905.0901125098,0
2020-03-31,332,9905.0901125098,9905.0901125098,0
2020-04-01,333,9905.0901125098,9905.0901125098,0
2020-04-03,334,9905.0901125098,9905.0901125098,0
2020-04-07,335,9905.0901125098,9905.0901125098,0
2020-04-08,336,9905.0901125098,9905.0901125098,0
2020-04-09,337,9905.0901125098,9905.0901125098,0
2020-04-13,338,9905.0901125098,9905.0901125098,0
2020-04-15,339,9905.0901125098,9905.0901125098,0
2020-04-16,340,9905.0901125098,9905.0901125098,0
2020-04-17,341,9905.0901125098,9905.0901125098,0
2020-04-20,342,9905.0901125098,9905.0901125098,0
2020-04-21,343,9905.0901125098,9905.0901125098,0
2020-04-22,344,9905.0901125098,6933.56307875686,3.22907832060434
2020-04-23,345,9968.28317524403,9968.28317524403,0
2020-04-24,346,9968.28317524403,6977.79822267082,3.18808229309952
2020-04-27,347,9978.67632351954,9978.67632351954,0
2020-04-28,348,9978.67632351954,6985.07342646368,3.21719816986122
2020-04-29,349,10086.7098380635,10086.7098380635,0
2020-04-30,350,10086.7098380635,7060.69688664443,3.0078156666359
2020-05-04,351,9865.24437052908,9865.24437052908,0
2020-05-05,352,9865.24437052908,9865.24437052908,0
2020-05-06,353,9865.24437052908,9865.24437052908,0
2020-05-07,354,9865.24437052908,9865.24437052908,0
2020-05-08,355,9865.24437052908,9865.24437052908,0
2020-05-11,356,9865.24437052908,9865.24437052908,0
2020-05-12,357,9865.24437052908,9865.24437052908,0
2020-05-13,358,9865.24437052908,9865.24437052908,0
2020-05-14,359,9865.24437052908,9865.24437052908,0
2020-05-15,360,9865.24437052908,9865.24437052908,0
2020-05-18,361,9865.24437052908,9865.24437052908,0
2020-05-19,362,9865.24437052908,9865.24437052908,0
2020-05-20,363,9865.24437052908,9865.24437052908,0
2020-05-21,364,9865.24437052908,9865.24437052908,0
2020-05-22,365,9865.24437052908,9865.24437052908,0
2020-05-26,366,9865.24437052908,9865.24437052908,0
2020-05-27,367,9865.24437052908,9865.24437052908,0
2020-05-28,368,9865.24437052908,9865.24437052908,0
2020-05-29,369,9865.24437052908,9865.24437052908,0
2020-06-01,370,9865.24437052908,9865.24437052908,0
2020-06-02,371,9865.24437052908,9865.24437052908,0
2020-06-03,372,9865.24437052908,9865.24437052908,0
2020-06-04,373,9865.24437052908,9865.24437052908,0
2020-06-05,374,9865.24437052908,9865.24437052908,0
2020-06-08,375,9865.24437052908,9865.24437052908,0
2020-06-09,376,9865.24437052908,9865.24437052908,0
2020-06-10,377,9865.24437052908,9865.24437052908,0
2020-06-11,378,9865.24437052908,9865.24437052908,0
2020-06-12,379,9865.24437052908,9865.24437052908,0
2020-06-15,380,9865.24437052908,9865.24437052908,0
2020-06-16,381,9865.24437052908,9865.24437052908,0
2020-06-17,382,9865.24437052908,9865.24437052908,0
2020-06-18,383,9865.24437052908,9865.24437052908,0
2020-06-19,384,9865.24437052908,9865.24437052908,0
2020-06-22,385,9865.24437052908,9865.24437052908,0
2020-06-23,386,9865.24437052908,9865.24437052908,0
2020-06-24,387,9865.24437052908,9865.24437052908,0
2020-06-25,388,9865.24437052908,9865.24437052908,0
2020-06-26,389,9865.24437052908,9865.24437052908,0
2020-06-29,390,9865.24437052908,9865.24437052908,0
2020-06-30,391,9865.24437052908,9865.24437052908,0
2020-07-01,392,9865.24437052908,9865.24437052908,0
2020-07-02,393,9865.24437052908,9865.24437052908,0
2020-07-03,394,9865.24437052908,6905.67105937035,2.74212296039908
2020-07-06,395,9947.12416212659,9947.12416212659,0
2020-07-07,396,9947.12416212659,6962.98691348861,2.70844466607791
2020-07-08,397,9984.39236073182,9984.39236073182,0
2020-07-09,398,9984.39236073182,6989.07465251228,2.67181441843539
2020-07-10,399,9951.58247967344,9951.58247967344,0
2020-07-13,400,9951.58247967344,9951.58247967344,0
2020-07-14,401,9951.58247967344,9951.58247967344,0
2020-07-15,402,9951.58247967344,9951.58247967344,0
2020-07-16,403,9951.58247967344,9951.58247967344,0
2020-07-17,404,9951.58247967344,9951.58247967344,0
