Date,Day,NetWorth,Cash,Shares
2019-07-22,161,8811.31882641127,1823.49734040299,17.0472091093369
2019-07-23,162,8878.99624657533,1823.49734040299,17.0472091093369
2019-07-24,163,8759.32483862779,1823.49734040299,17.0472091093369
2019-07-25,164,8795.80586612177,1823.49734040299,17.0472091093369
2019-07-26,165,8876.26869311784,1823.49734040299,17.0472091093369
2019-07-29,166,9159.9342526972,1823.49734040299,17.0472091093369
2019-07-30,167,9188.2326198187,1823.49734040299,17.0472091093369
2019-07-31,168,9072.6525420574,1823.49734040299,17.0472091093369
2019-08-01,169,8967.98267812607,1823.49734040299,17.0472091093369
2019-08-02,170,8818.81959841937,1823.49734040299,17.0472091093369
2019-08-05,171,8663.17857925113,1823.49734040299,17.0472091093369
2019-08-06,172,8784.21376392742,1823.49734040299,17.0472091093369
2019-08-07,173,8839.27624935058,1823.49734040299,17.0472091093369
2019-08-08,174,8798.19247539707,1823.49734040299,17.0472091093369
2019-08-09,175,8968.66456649044,1823.49734040299,17.0472091093369
2019-08-13,176,8913.77255315838,1823.49734040299,17.0472091093369
2019-08-14,177,8953.32207829204,1823.49734040299,17.0472091093369
2019-08-16,178,8921.27332516649,1823.49734040299,17.0472091093369
2019-08-19,179,9062.93563286508,1823.49734040299,17.0472091093369
2019-08-20,180,8938.8319505491,1823.49734040299,17.0472091093369
2019-08-21,181,8902.35092305512,1823.49734040299,17.0472091093369
2019-08-22,182,8712.7859577593,1823.49734040299,17.0472091093369
2019-08-23,183,8544.70047594123,1823.49734040299,17.0472091093369
2019-08-26,184,8716.36587167226,1823.49734040299,17.0472091093369
2019-08-27,185,8933.20637154302,1823.49734040299,17.0472091093369
2019-08-28,186,8888.88362785875,1823.49734040299,17.0472091093369
2019-08-29,187,8716.02492749007,1823.49734040299,17.0472091093369
2019-08-30,188,8768.87127572902,1823.49734040299,17.0472091093369
2019-09-03,189,8578.79489415991,1823.49734040299,17.0472091093369
2019-09-04,190,8569.41892914978,1823.49734040299,17.0472091093369
